full_text,Sentimen
Yakin itu mewakili Nahdliyyin  5 Nahdliyin Bertemu Presiden Israel PBNU Rusak Citra NU di Mata Internasional,Negatif
Sampeyan bohong ngapusi Mbah jejak digitalmu jelas membawa nama besar PBNU,Negatif
Dulu saya sangat mengagumi gusdur tapi lihat kelakuan PBNU sekarang yg Oeng dekat gusdur ko saya jadi mikir yaa kalau gusdur itu tidak sebaik yg saya pikirkan,Negatif
Udah beranak Pinak masih belom cukup umur,Negatif
Ini kan untuk menutupi issue lima binatang yang menemui presiden Israel dan PM nya Apakabar PBNU dan NU,Negatif
Ya kalau gitu kalian Pengurus PBNU langsung aja lapor ke kepolisian masak kalian merasa banyak musuh tapi kalian gak mau mempenjarakan 5 orang itu yang telah mencoreng organisasi kalian,Negatif
Organisasi PBNU tuh lg lucu²nya dr tingkat atas sampe bawah Seharusnya si pada punya rada MALU dilihat dan dinilai masyarakat seluruh Indonesia bahkan dunia,Negatif
Hebat juga pribadi mereka yaa diundang ke Israel bukan karena sosok kader PBNU melainkan krna pribadi,Negatif
Itu tandanya Allah menghukum PBNU  CAMKAN ITU  Akan ada waktunya Bajingan bajingan munafik PBNU akan musnah  Dan Allah memperlihatkan watak orang munafik PBNU Emang bangsat kalian ketua PBNU dan anggota ya  dasar budak zioni,Negatif
Kan ada yang ngasih contoh lupa ya pak  Ketum PBNU Minta Maaf Terkait 5 Nahdliyin Bertemu Presiden Israel,Netral
PBNU SEKARANG   Persatuan Budak Netanyahu United    Dari ketuanya sampai bawahanya bertemu rezim DNA zionis Dan itu fakta Kalau pengen bersih lagi PBNU Pecat semua ketua ya Dan Anggota yg berkunjung kesana  Berani PECAT MEREKA TIDAK,Negatif
Bubarkan saja PBNU ini cukup kan sudah ada MUI yg ngurusin Umat,Negatif
Mas2 Nahdliyin biasa - yang mengatasnamakan PBNU sekarang levelnya udah bikin gempar ndonya karena main sama petinggi Zionis Udah bukan level komisaris wamen stafsus atau TA kementerian lagi Mas2 biasa bisa apa Ya tetap jadi seperti biasanya Sebisanya,Negatif
Ketum PBNU Ungkap Obrolan Lima Nahdliyin dengan Presiden Israel,Netral
Anjing - Anjing Pengkhianat Peci Hitam NU Bubarkan memalukan umat Islam Indonesia di mata dunia Islam Islam Indonesia sangat hina memalukan sebaiknya PBNU di BUBARKAN,Negatif
Klau yg ini gk mungkin d jebak dan gk mungkin blum cukup umur kan Dah lah smua udh jlas ko Ad duta zionis penyusup d PBNU,Negatif
Ketum PBNU segini banget cara ngelesnya ampoooonn,Negatif
Dugaan Yang bener ajee ketum PBNU yg skr aja dl sering bolak balik ketemu netanyahuormas gembel penghamba cuan tambang munafik,Negatif
Bubarkan PBNU tak perlu ada NU dinegeri ini MUI dan PKB Kalian tak berani bicara tegas terhadap Pengkhianat dari orang - orang NU,Negatif
Perasaan PBNU doang deh yang bawa bawa wahabi apa apa wahabi walaupun saya ga tau apa itu wahabi tapi kok apa apa wahabi apa apa wahabi,Negatif
PBNU Ormas Islam Terlarang Bubarkan NU MUI Diam Tak berani menyatakan NU ormas terlarang dahulu kalian bilang FPI ormas terlarang dan kalian suruh bubarkan Tapi Pengkhianat kalian biarkan hidup bebas di RI,Negatif
Kelima Kera dari PBNU Itu Jelas2 Pengkhianat Negara Indonesia Konstitusi Negara Kita Sangat Jelas Menentang Penjajahan di Atas Dunia Ini Tangkap 5 Kera Pengkhianat Bangsa Muhammadiyah Musuh NU,Negatif
Wahai PBNU- Pecat Tidak payah guna klarifikasi capek-capek Malulah sama Pendiri NU,Negatif
Pecat aja ketua PBNU nya ko ngurus ORMAS sebesar itu gk tau anak buahnya ke Israel,Negatif
Harta warisan memang bikin ribut ANGK0T88 Kenapa gak bisa saling pengertian aja,Negatif
Kok bisa ya kepilih jadi ketua PBNU membedakan kadernya yang cukup umur dan belum berumur saja tidak bisa,Negatif
NU kehilangan marwahnya Muhammadiyah sumbang banyak PBNU malah kirim kecoak ke Israel,Negatif
Pbnu bangsat kalian,Negatif
Menteri Agama udh manggil ketum PBNU blm tuh,Negatif
sekelas ketua PBNU tidak bisa membedakan mana yang sudah cukup umur dan mana yang belum cukup umur,Negatif
PBNU Ungkap Identitas Kelima Pemuda Bertemu Presiden Israel Ada Seorang Dosen dan Anggota Fatayat NU,Netral
Warga NU dan Kyai-kyai Sepuh Ponpes tdk kena getahnya warga NU tetap berjalan normal Hanya PBNU yg melenceng dr tujuan dan cita-cita para pendiri NU,Negatif
Semoga skrng bisa menjadi masuk akal ya langsung ketua PBNU nih yg klarifikasi,Negatif
Ketua tukang memecah belah umat Islam,Negatif
kadang males ngaku NU kalau ada orang2 model gini sumaph pbnu ansor pada kemana yak,Negatif
Konteks nya bukan soal siapa yang udah ngasi donasi/ngasi donasi paling banyak Tapi soal movement NU sebagai ormas terbesar di Indo yg dicompare sama Muhammadiyah yg juga ormas besar dan,Negatif
Bukan alasan menistakan NU Bukan PBNU atau siapapun juga termasuk saya yg harus membuktikan hal2 itu Penyalahgunaan nama NU bukan kesalahan PBNU,Negatif
NU sudah hilang NU nya ketika dimasuki politik sudah ganti saja ketua PBNU biarkan para gus yang lebih sepuh dan lebih paham saja yang megang NU,Negatif
Omon gede  Andai USA yg sponsori dan konspirasi eks alumni kelompok mahasiswa Harvard bgmn Mau apa para ulama PBNU Bgnilah perilaku ulama yg bakal dpt izin tambang  Gemong just reka**** lempar batu sembunyi pantat,Negatif
Bukannya terimakasih dibikin viral malah bikin konspirasi Bersyukur dong begajul2 zionis pesek itu ketauan di awal sehingga next time gak merebut kekuasaan di PBNU dan mimpin ormas yg katanya terbesar di negeri ini Dasar gak tau terimakasih Ta,Negatif
Gak relevan tidak ada yg tahu apa yg terjadi di sana termasuk dari PBNU,Netral
Konferensi pers PBNU tentang Kunjungan 5 orang ke Isryang mengatasnamakan NU Hari ini Jam 1400 Wib,Netral
Sepertinya atau PBNU sudah layak utk dibubarkan karena sudah sangat jelas melanggar UUD 45 dan ditambah lagi bahwa Indonesia tidak punya hubungan diplomatik dgn Israel yg artinya mrk sudah melanggar hukum Gimana menurut pak,Negatif
itu lebih kepersonal aja mau terima kritik atau gak bodo amat itu akun bawa2 nama NU tapi sikap &amp; statement publik tidak sejalan dgn akun PRNU officiall makanya kena hujat Akun resmi PBNU sudah klarifikasi minta maaf tapi l,Negatif
Teroris Israel melakukan pembantaian lagi terhadap warga sipil Palestina beberapa tewas dan terluka akibat pemboman zionis di wilayah Khan Younis Mawasi ��,Negatif
Seharusnya klo mau berkunjung ke israel jangan bawa bawa PBNU udah acara pribadi aja kan beres lah ini ceritanya gmn udah jelas di semua media israel sedang kesurupan membantai umat muslim malah apose apose pula sama kepala negara BIADA,Positif
Yang berangkat kesana siapa terus yang suruh introspeksi siapa Itu loh udah banyak orang PBNU juga yang mengecam Udah buat konferensi pers juga Unusia mau buat sidang etik juga Terus kamu minta apalagi,Positif
Kocak ketua PBNU bilang mereka belum cukup umur guru kencing berdiri murid kencing berlari,Negatif
Ini tolol apa bego emng gak ada lagi negara lain selain ANJING ZIONIS NAJIS ISRAEL pbnu mesti di benahi jika bukan berkepentingan soal freedom falestin tolol MUAK dengan semua ini mending pke duit pribadi  hrs ada,Negatif
Keluarin dari PBNU,Netral
Warga sipil Palestina satu keluarga meninggal akibat serangan udara teroris Israel di kawasan Sheikh Zayed Gaza utara hari ini,Netral
PBNU jangan pura2 yahya staqut saja bertemu dengan PM Israel Netanyahu,Netral
Saya sih belum percaya mereka ketemu Israel PBNU gak tau,Netral
PBNU mah emang udah lama rusak tapi warganya pada berusaha tutup mata dan menganggap semua baik2 aja,Negatif
Kalo mau liat NU yg sebenernya lihatlah kyai kampung Ora ngurus PBNU Tapi uripe mengabdi gae NU Tanpa pamrih,Positif
5 Nahdliyin Bertemu Presiden Israel PP Muhammadiyah Mereka Zalim dan Lecehkan Konstitusi,Netral
Lalu jika NU adalah tempat mereka bernaung tidakkah ada tindakan tegas dari PBNU untuk memecat mereka dari keanggotaan NU secara NU itu kan Ormas,Netral
Bubar kan saja PBNU nir faedah yg di butuhkan itu ulama NU yg lurus tapi PBNU sudah campur zionis dan duid hram,Negatif
Yg bilang belum cukup umur itu Ketum PBNU berarti Ketum PBNU nya blm punya pikiran,Netral
Ketum PBNU sebut 5 Kader yang Temui Presiden Israel Belum Cukup Umur Minta Masyarakat Memaafkan,Netral
Jarang2 dapet kesempatan ketemu presiden irak Bukannya di pacul malah haha hihi,Netral
Warga sipil Palestina menjadi korban serangan udara teroris Israel di kawasan Sheikh Zayed Gaza utara hari ini,Netral
Serem bgt ini PBNU pemimpinnya enteng bgt berdusta depan umum Apa gak kasihan sama Nahdliyin yg bukan pengurus jd sasaran empuk buat dicengin,Negatif
Gas terus pak nitip kalih panjenengan pak yang mungkin bisa punya akses ke PBNU utk memastikan agar ke lima oknum yg ketemu dg Isriwil di pecat dari NU Klo ga gitu nnt ujug² oknum ini jd pejabat teras di PBNU Krena sdh didahului sama ketua,Positif
Ketum PBNU Ungkap Dalang di Balik 5 Nahdliyin Temui Presiden Israel,Netral
Si tua bangka ini jg ada kerjasama juga dgn Netanyahu sok sok minta maaf padahal atas izin si tua bangka ini jg sebagai petinggi PBNU Jgn mudah percaya dengan serigala berbulu domba,Negatif
klw yg sot ini pimpinan2 nya pbnu ke israel n mengadakn pertemuan dng pjbt2 Israel boleh yaga salah yg bawahan itu mn contoh atasan nya mmg NU br mslh dr pimpinan nya nahdliyin nya ga tau apa2,Negatif
stem sel model beginian gak halal dunia akhirat k,Negatif
Ini akibat dari terlalu menghormati secara berlebihan ke kyai/gus bahkan nyrempet dikit lagi mengkultuskan Ketika ada yang salah atau gak wajar bukannya mengkritik tapi malah menyalahkan pihak luar dan dicap musuh  Gak berani kritik pentolannya &amp; PBNU itu sendiri,Negatif
Ga ada yang merongrong kecuali PBNU mudah disusupi paham anti syariat Liberal dan Syiah atas nama budaya toleransi dan persatuan Pelan namun pasti PBNU akan menyimpang dari Al-Quran dan Sunnah,Netral
Min ngomongo nang Ketum pean iki lho ono buktine,Netral
Orang banser PBNU Bukan orang nya PKB,Netral
PBNU Minta Maaf Terkait 5 Kadernya Bertemu Presiden Israel,Netral
Kunjungan ketua PBNU kalian telah mengkhianati Islam walaupun kunjungan tersebut atas nama pribadi kecuali dia bukan agama Islam Mau atas nama pribadi atau tidak sama saja tetap kalian penghianat Dimana hati nurani kalian sebagai umat Islam,Negatif
Ketua Umum PBNU Gus Yahya Meminta Maaf atas Kunjungan 5 Anggota Nahdliyin ke Israel lewat,Netral
PBNU nilai ada unsur ketidaktahuan dalam pertemuan dengan Isaac Herzog,Netral
Karena ketahuan ya kg ngaku,Netral
Ketum PBNU Minta Maaf Terkait 5 Tokoh Nahdliyin Temui Presiden Israel,Netral
Lucu enggak tuh salah satu curut yang berangkat ke israel pendiri cherbon feminist  Bisa bisanya NU gabung feminist Organisasi penyepong israel yang bentar lagi bakal promosi LGBT dan nikah sesama jenis DASAR,Negatif
Nah jika PBNU mau membersihkan diri cari si makhluk laknat ini dan proses hukum jika PBNU diam maka,Negatif
Emangnya apa yang diharapkan dari PBNU saat ini cuma kumpulan orang numpang hidup,Negatif
Ketum PBNU Minta Maaf Soal 5 Kadernya Temui Presiden Israel Hingga Siapkan Strategi untuk Bantu Warga Palestina Netanyahu united NU lewat,Negatif
Tiap hari ada aja alesan dan klarifikasinya Mana klarifikasinya beda-beda PBNU kalau begini terus ya bisa bubar orang-orang di dalamnya ga ada yang bener semua,Negatif
Sudah terang benderang munafiq ketua tergolong murtadz dan kafir dia Lihat video abdul haris,Negatif
Banyak yang mendadak NU tp NU tulen cuitanya pasti beda,Negatif
